id,title,skills,median_salary,growth_pct,education,sector,abilities,knowledge,work_activities,interests,job_zone
29-1022.00,Oral and Maxillofacial Surgeons,"Complex Problem Solving, Judgment and Decision Making, Reading Comprehension, Critical Thinking, Active Listening, Speaking, Active Learning",360240,4.1,bachelor,29,"Arm-Hand Steadiness, Finger Dexterity, Near Vision, Oral Comprehension, Oral Expression, Problem Sensitivity, Deductive Reasoning","Medicine and Dentistry, Biology, English Language, Customer and Personal Service, Psychology, Education and Training, Chemistry","Assisting and Caring for Others, Updating and Using Relevant Knowledge, Performing for or Working Directly with the Public, Making Decisions and Solving Problems, Getting Information, Documenting/Recording Information, Providing Consultation and Advice to Others","Investigative, Realistic, Social, Conventional, Enterprising, Artistic",5
29-1224.00,Radiologists,"Reading Comprehension, Active Listening, Speaking, Writing, Critical Thinking, Judgment and Decision Making, Monitoring",359820,2.7,bachelor,29,"Problem Sensitivity, Inductive Reasoning, Oral Comprehension, Written Comprehension, Oral Expression, Deductive Reasoning, Written Expression","Medicine and Dentistry, Biology, English Language, Computers and Electronics, Education and Training, Customer and Personal Service, Physics","Assisting and Caring for Others, Updating and Using Relevant Knowledge, Getting Information, Making Decisions and Solving Problems, Communicating with Supervisors, Peers, or Subordinates, Working with Computers, Identifying Objects, Actions, and Events","Investigative, Conventional, Realistic, Social, Enterprising, Artistic",5
29-1213.00,Dermatologists,"Critical Thinking, Active Listening, Service Orientation, Reading Comprehension, Speaking, Social Perceptiveness, Active Learning",347810,6.4,bachelor,29,"Oral Expression, Problem Sensitivity, Oral Comprehension, Deductive Reasoning, Inductive Reasoning, Written Comprehension, Near Vision","Medicine and Dentistry, Customer and Personal Service, English Language, Administration and Management, Education and Training, Biology, Personnel and Human Resources","Assisting and Caring for Others, Getting Information, Documenting/Recording Information, Making Decisions and Solving Problems, Communicating with Supervisors, Peers, or Subordinates, Establishing and Maintaining Interpersonal Relationships, Interpreting the Meaning of Information for Others","Investigative, Realistic, Social, Conventional, Artistic, Enterprising",5
29-1211.00,Anesthesiologists,"Critical Thinking, Active Listening, Monitoring, Judgment and Decision Making, Reading Comprehension, Writing, Science",336640,3.2,bachelor,29,"Problem Sensitivity, Oral Comprehension, Deductive Reasoning, Written Comprehension, Inductive Reasoning, Oral Expression, Near Vision","Medicine and Dentistry, Biology, English Language, Chemistry, Customer and Personal Service, Psychology, Physics","Making Decisions and Solving Problems, Assisting and Caring for Others, Getting Information, Updating and Using Relevant Knowledge, Monitoring Processes, Materials, or Surroundings, Evaluating Information to Determine Compliance with Standards, Analyzing Data or Information","Investigative, Social, Realistic, Conventional, Enterprising, Artistic",5
29-1241.00,"Ophthalmologists, Except Pediatric","Reading Comprehension, Critical Thinking, Active Listening, Writing, Speaking, Active Learning, Monitoring",301500,4.3,bachelor,29,"Written Comprehension, Problem Sensitivity, Inductive Reasoning, Near Vision, Oral Comprehension, Oral Expression, Deductive Reasoning","Medicine and Dentistry, English Language, Customer and Personal Service, Biology, Administration and Management, Education and Training, Mathematics","Identifying Objects, Actions, and Events, Making Decisions and Solving Problems, Assisting and Caring for Others, Documenting/Recording Information, Getting Information, Analyzing Data or Information, Updating and Using Relevant Knowledge","Investigative, Social, Realistic, Conventional, Enterprising, Artistic",5
29-1217.00,Neurologists,"Active Listening, Reading Comprehension, Speaking, Critical Thinking, Social Perceptiveness, Complex Problem Solving, Writing",286310,5.4,bachelor,29,"Inductive Reasoning, Deductive Reasoning, Oral Comprehension, Oral Expression, Problem Sensitivity, Written Comprehension, Written Expression","Medicine and Dentistry, English Language, Psychology, Biology, Therapy and Counseling, Education and Training, Computers and Electronics","Getting Information, Making Decisions and Solving Problems, Assisting and Caring for Others, Updating and Using Relevant Knowledge, Documenting/Recording Information, Analyzing Data or Information, Interpreting the Meaning of Information for Others","Investigative, Social, Realistic, Conventional, Enterprising, Artistic",5
29-1218.00,Obstetricians and Gynecologists,"Critical Thinking, Reading Comprehension, Active Listening, Active Learning, Writing, Speaking, Monitoring",281130,1.2,bachelor,29,"Problem Sensitivity, Inductive Reasoning, Written Comprehension, Oral Expression, Deductive Reasoning, Oral Comprehension, Written Expression","Medicine and Dentistry, Biology, English Language, Psychology, Customer and Personal Service, Therapy and Counseling, Computers and Electronics","Assisting and Caring for Others, Making Decisions and Solving Problems, Updating and Using Relevant Knowledge, Documenting/Recording Information, Getting Information, Providing Consultation and Advice to Others, Identifying Objects, Actions, and Events","Investigative, Social, Realistic, Conventional, Enterprising, Artistic",5
29-1223.00,Psychiatrists,"Active Listening, Social Perceptiveness, Speaking, Critical Thinking, Reading Comprehension, Writing, Judgment and Decision Making",269120,6.1,bachelor,29,"Oral Comprehension, Oral Expression, Written Comprehension, Written Expression, Deductive Reasoning, Inductive Reasoning, Problem Sensitivity","Therapy and Counseling, Psychology, Medicine and Dentistry, English Language, Biology, Education and Training, Customer and Personal Service","Assisting and Caring for Others, Getting Information, Making Decisions and Solving Problems, Establishing and Maintaining Interpersonal Relationships, Updating and Using Relevant Knowledge, Documenting/Recording Information, Communicating with Supervisors, Peers, or Subordinates","Investigative, Social, Conventional, Artistic, Realistic, Enterprising",5
29-1222.00,"Physicians, Pathologists","Reading Comprehension, Writing, Critical Thinking, Active Listening, Science, Active Learning, Complex Problem Solving",266020,4.2,bachelor,29,"Inductive Reasoning, Problem Sensitivity, Oral Comprehension, Written Expression, Written Comprehension, Oral Expression, Deductive Reasoning","Medicine and Dentistry, Biology, English Language, Education and Training, Customer and Personal Service, Chemistry, Administration and Management","Updating and Using Relevant Knowledge, Processing Information, Documenting/Recording Information, Getting Information, Making Decisions and Solving Problems, Identifying Objects, Actions, and Events, Evaluating Information to Determine Compliance with Standards","Investigative, Realistic, Conventional, Social, Enterprising, Artistic",5
29-1024.00,Prosthodontists,"Active Listening, Speaking, Critical Thinking, Social Perceptiveness, Complex Problem Solving, Reading Comprehension, Monitoring",258660,4.5,bachelor,29,"Oral Expression, Near Vision, Oral Comprehension, Problem Sensitivity, Deductive Reasoning, Finger Dexterity, Inductive Reasoning","Medicine and Dentistry, Customer and Personal Service, Psychology, Chemistry, English Language, Administration and Management, Biology","Assisting and Caring for Others, Performing for or Working Directly with the Public, Making Decisions and Solving Problems, Documenting/Recording Information, Judging the Qualities of Objects, Services, or People, Establishing and Maintaining Interpersonal Relationships, Coaching and Developing Others","Realistic, Investigative, Social, Conventional, Artistic, Enterprising",5
